category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
verb,shopping,to buy,purchase goods,comprare,kohm-PRAH-reh,,infinitive,,1,verb,,I want to buy a souvenir.,Voglio comprare un souvenir.,acquistare,,comprare
verb,shopping,I buy,first-person present,compro,KOHM-proh,,present_1sg,,1,verb,,I buy fruit at the market.,Compro frutta al mercato.,acquisto,,comprare
verb,shopping,I bought,past completed action,ho comprato,oh kohm-PRAH-toh,,past_1sg,,1,verb,,I bought tickets yesterday.,Ho comprato i biglietti ieri.,ho acquistato,,comprare
verb,shopping,buying,ongoing action,comprando,kohm-PRAHN-doh,,gerund,,1,verb,,Buying local products saves money.,Comprando prodotti locali si risparmia.,acquistando,,comprare
verb,shopping,to pay,hand over money,pagare,pah-GAH-reh,,infinitive,,1,verb,,You can pay with card.,Puoi pagare con la carta.,sal­dare,,pagare
verb,shopping,I pay,first-person present,pago,PAH-goh,,present_1sg,,1,verb,,I pay at the register.,Pago alla cassa.,saldo,,pagare
verb,shopping,I paid,past completed action,ho pagato,oh pah-GAH-toh,,past_1sg,,1,verb,,I paid the bill already.,Ho pagato il conto già.,ho saldato,,pagare
verb,shopping,paying,ongoing action,pagando,pah-GAN-doh,,gerund,,1,verb,,Paying in cash is faster.,Pagando in contanti è più veloce.,saldando,,pagare
verb,shopping,to try on,put clothing on to test,provare,proh-VAH-reh,,infinitive,,1,verb,,May I try on this jacket?,Posso provare questa giacca?,testare,,provare
verb,shopping,I try on,first-person present,provo,PROH-voh,,present_1sg,,1,verb,,I try on the shoes.,Provo le scarpe.,testo,,provare
verb,shopping,I tried on,past completed action,ho provato,oh proh-VAH-toh,,past_1sg,,1,verb,,I tried on three sizes.,Ho provato tre taglie.,ho testato,,provare
verb,shopping,trying on,ongoing action,provando,proh-VAN-doh,,gerund,,1,verb,,Trying on clothes takes time.,Provando i vestiti si perde tempo.,testando,,provare
verb,shopping,to cost,have a price,costare,koh-STAHR-eh,,infinitive,,1,verb,,How much does it cost?,Quanto costa?,valere,,costare
verb,shopping,I cost,first-person present,costo,KOH-stoh,,present_1sg,,1,verb,,I cost nothing to enter.,Costo niente per entrare.,valgo,,costare
verb,shopping,I costed,past completed action,sono costato,SOH-no koh-STA-toh,,past_1sg,,1,verb,,The item I bought costed less online.,L’articolo che ho comprato è costato meno online.,sono valso,,costare
verb,shopping,costing,ongoing action,costando,koh-STAN-doh,,gerund,,1,verb,,Costing too much I skipped it.,Costando troppo l’ho lasciato.,valendo,,costare
verb,shopping,to choose,select something,scegliere,SHEL-lyeh-reh,,infinitive,,1,verb,,Choose your favorite flavor.,Scegli il tuo gusto preferito.,selezionare,,scegliere
verb,shopping,I choose,first-person present,scelgo,SHEL-goh,,present_1sg,,1,verb,,I choose local wines.,Scelgo vini locali.,seleziono,,scegliere
verb,shopping,I chose,past completed action,ho scelto,oh SHEL-toh,,past_1sg,,1,verb,,I chose the blue scarf.,Ho scelto la sciarpa blu.,ho selezionato,,sceltare
verb,shopping,choosing,ongoing action,scegliendo,shel-YEN-doh,,gerund,,1,verb,,Choosing takes me a while.,Scegliendo ci metto un po’.,selezionando,,scegliere
verb,shopping,to exchange,swap an item,cambiare,kahm-BYAH-reh,,infinitive,,1,verb,,You can exchange within 30 days.,Puoi cambiare entro 30 giorni.,sostituire,,cambiare
verb,shopping,I exchange,first-person present,cambio,KAHM-byoh,,present_1sg,,1,verb,,I exchange the size.,Cambio la taglia.,sostituisco,,cambiare
verb,shopping,I exchanged,past completed action,ho cambiato,oh kahm-BYAH-toh,,past_1sg,,1,verb,,I exchanged the shoes yesterday.,Ho cambiato le scarpe ieri.,ho sostituito,,cambiare
