category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
verb,emotions,to love,strong positive feeling,amare,ah-MAH-reh,,infinitive,,1,verb,,It’s easy to love Italy.,È facile amare l’Italia.,adorare,,amare
verb,emotions,I love,first-person present,amo,AH-moh,,present_1sg,,1,verb,,I love this city.,Amo questa città.,adoro,,amare
verb,emotions,you love,second-person present,ami,AH-mee,,present_2sg,,1,verb,,You love the mountains.,Ami le montagne.,adori,,amare
verb,emotions,you (plural) love,second-person present,amate,ah-MAH-teh,,present_2pl,,1,verb,,You love the mountains.,Amate le montagne.,adorate,,amare
verb,emotions,he loves,third-person singular,ama,AH-mah,,present_3sg_masc,,1,verb,,He loves the beach.,Ama la spiaggia.,adora,,amare
verb,emotions,she loves,third-person singular,ama,AH-mah,,present_3sg_fem,,1,verb,,She loves the music here.,Ama la musica qui.,adora,,amare
verb,emotions,we love,first-person plural,amiamo,ah-MYAH-moh,,present_1pl,,1,verb,,We love the sea.,Amiamo il mare.,adoriamo,,amare
verb,emotions,they love,third-person plural,amano,AH-mah-noh,,present_3pl,,1,verb,,They love the food here.,Amano il cibo qui.,adorano,,amare
verb,emotions,I loved,past completed action,ho amato,oh ah-MAH-toh,,past_1sg,,1,verb,,I loved the concert yesterday.,Ho amato il concerto ieri.,ho adorato,,amare
verb,emotions,you loved,past completed action,hai amato,ah-ee ah-MAH-toh,,past_2sg,,1,verb,,You loved the book.,Hai amato il libro.,hai adorato,,amare
verb,emotions,you (plural) loved,past completed action,avete amato,ah-VEH-teh ah-MAH-toh,,past_2pl,,1,verb,,You loved the movie.,Avete amato il film.,avete adorato,,amare
verb,emotions,he loved,past completed action,ha amato,ah-AH-mah-toh,,past_3sg_masc,,1,verb,,He loved the opera.,Ha amato l'opera.,ha adorato,,amare
verb,emotions,she loved,past completed action,ha amato,ah-AH-mah-toh,,past_3sg_fem,,1,verb,,She loved the painting.,Ha amato il dipinto.,ha adorato,,amare
